gene	log2FoldChange
1700025G04Rik	0.203939893400396
1700028K03Rik	0.687938524901955
2410015M20Rik	0.216749206260223
Abcb1a	0.633052990847113
Actn4	0.178245603709262
Adgrg5	0.518222031034931
Ahnak	0.478515342189693
Aqp9	1.11385689015671
Ar	0.143806969372813
Armc7	0.512098545874357
Arsb	0.678567342943669
As3mt	0.707021226172742
Asns	0.834902385346725
Atp2b1	0.385675028365096
Atp6v0e	0.192955284464773
Atp8b4	0.451044218119812
AW112010	0.188472924182439
Baiap3	0.154827463888762
Bax	0.24083529142689
Bbs9	0.709184742665915
Bcl2	0.498702202601473
Bhlhe40	0.737389197985631
Bmpr1a	0.832743092540543
Bola2	0.229220323577723
Borcs7	0.877792467304614
Calm1	0.168804283231767
Camk2n1	0.907071765051722
Capg	0.701269033106888
Capn2	0.148884608345052
Ccl5	0.786743937351941
Ccnd2	0.443891820298493
Ccnd3	0.54883989312219
Ccng1	0.143201230353671
Ccr2	1.91002417640752
Ccr5	0.703965003959641
Cd22	0.835293146817905
Cd52	0.246389555917409
Cd6	0.412767961100084
Cd8a	0.328964297640673
Cd8b1	0.552907134785496
Cdh1	0.877952362475481
Cdipt	0.201974406178421
Cdk4	0.215895069123979
Cdk6	0.578788706658375
Cdkn2aipnl	0.511810097580892
Cish	0.808616203886846
Cotl1	0.298773315357577
Cox5a	0.20930686412282
Cox8a	0.13199721745422
Crip1	0.357415669176787
Crybg1	0.188806666869482
Cst7	0.226144608084331
Ctla2a	0.380151735352789
Ctsd	0.205898989575061
Ctsw	0.173990881476649
Cxcr6	0.998495667428228
Cyth4	0.384673842945887
Dennd5a	1.40589102676636
Dlg5	0.602441209383997
Dmrta1	0.639060712625951
Dock5	0.674325492973439
Ebpl	0.134922018403554
Efhd2	0.224193244727615
Eif3i	0.144808877202616
Eif4g1	0.202823861835596
Elob	0.178699078445828
Entpd1	0.575864236300781
Eomes	0.566947942853598
Esyt1	0.211139034711037
F2r	1.10202086651692
Fam204a	0.193941105802954
Fam46c	0.136431183218006
Fasl	0.893041259301203
Fcgr2b	1.49494753367716
Fcgrt	1.72966162669667
Fgl2	2.03718573614786
Flna	0.23456765942313
Flt3l	0.951950454737287
Fyn	0.344497367131014
Glipr2	0.358004003985143
Gm15987	0.469089897478117
Gm38979	0.552145797343627
Gm4208	0.556965811911858
Gng2	0.561973708217659
Gnptab	0.127706025524909
Gsap	0.582077389992797
Gtf2i	0.511653493445648
Gzmb	0.733667768390336
Gzmk	0.959356053674327
Gzmm	0.878667672148801
H2-K1	0.186217255646469
H2-Q10	0.507110043606429
H2-Q6	0.187558708533222
H2-Q7	0.307693913699785
H2afj	0.286720803738501
Hdgfl3	0.565185749565667
Hid1	0.576974344223802
Hopx	0.191831215011135
Hotairm1	0.650507424486634
Hsp90ab1	0.189455813162749
Hspa8	0.122494447777706
Id2	1.13780020666179
Ier3	0.578182924921467
Ikbkb	0.201430511231971
Il18r1	0.267687234411035
Il18rap	0.198789994970022
Il7r	0.441510841071523
Irf2bpl	0.164231245749699
Itga1	0.653701623170214
Itgal	0.395773624263475
Itgax	0.859463309934865
Itgb1	0.8220209166546
Itgb2	0.181985955223827
Jaml	0.19398373739453
Kcnj8	0.703124165260961
Kcnk7	0.61998483450037
Klrc1	0.701191536002053
Klrk1	0.44262392011797
Krtcap2	0.262157103952407
Lair1	0.879265692745599
Laptm5	0.217400024978773
Lars2	0.16814851221292
Lat	0.225148779269044
Lcp1	0.215253532959061
Lgals1	0.959897278415254
Lgals3	1.03520603993151
Limd1	0.238732802264004
Lpin1	0.928312061481154
Lrrk1	0.816295801903507
Ly6a	0.694910363529703
Ly6c2	0.241488064605368
Man2a1	0.481746721849096
Mbd2	0.186948288401344
Mbnl1	0.180103061584085
Mcm5	0.633239938494691
Mfsd6	0.526622003227317
Ms4a4b	0.183182462409968
Ms4a6b	0.193220572947395
Ms4a6d	0.838314182706843
mt-Atp6	0.0689526040175821
mt-Co1	0.0844614193830573
mt-Co2	0.0811160038552039
mt-Co3	0.0922416104330885
Myh9	0.213326136136467
Myl6	0.186054028564793
Myo5a	0.605816572214217
N4bp1	1.39940804060597
Naip2	0.640636339675911
Naip5	0.682970980894715
Nbeal2	0.17794231072864
Nccrp1	0.731898378168651
Ndufa12	0.143394942897694
Ndufa4	0.256526670962042
Ndufb10	0.218187023588241
Nedd4	0.503170553434503
Nfatc2	0.161641020934639
Nkg7	0.41371490746936
Nod1	0.559949324732454
Npm3	0.199334915864436
Nptn	0.544654188199935
Nt5e	0.142138564225048
Ostf1	0.18770765741838
P3h4	0.806327111934426
Phlda3	0.69341305881261
Pi4ka	0.143585139027385
Plek	0.566178289362385
Plekha5	0.228423473154168
Pltp	0.744602150228021
Ppp6r1	0.190920720758799
Prdm1	0.669089364651325
Prf1	0.560778093649349
Prkce	0.68144545729374
Prkcz	0.161949191724628
Pros1	0.696392191071666
Psmb8	0.236914240302944
Ptger3	0.419081723817165
Ptprj	0.695406579514286
Pxylp1	0.119784723909923
Rasgef1b	1.00362090136613
Rcn1	0.493743604644959
Reep5	0.710598853843711
Rpa2	0.162997327559553
Rpl14	0.183025253569657
Rpl36	0.105695531788896
Rps12	0.126617978218809
Rps27l	0.187401880562473
Rptor	0.149345824571319
Ryk	0.899317477498507
