gene	log2FoldChange
AA467197	1.35404229020011
Abhd2	0.569272950432633
AC149090.1	0.409391301868214
Adam8	0.869902979728289
Ahnak	0.548250416576845
Aldoa	0.333680443412653
Anxa1	1.1397588427724
Anxa2	0.529705729314335
Ar	0.722388208982431
Areg	0.50735253432211
Arg1	0.692201179404666
Arnt2	0.918772432256727
Asb2	0.925885919779242
Atp2b1	0.313631979396679
AW112010	0.56351986799711
Bace2	1.28081829258833
Bhlhe40	0.584099452691099
Bmpr1a	1.27463514841493
Btg2	0.424187638597744
Cacna1d	0.713727182851065
Camk2n1	1.07917518452932
Casp1	0.66237006722357
Casp4	0.719306438943655
Ccl5	1.0175479341082
Ccr1	0.707883091115354
Ccr2	0.892871945675881
Cd44	0.409294900806136
Cd82	0.272510215060293
Cdc42ep3	0.677673227464316
Cdk6	0.525445438075475
Cebpb	0.45645088693409
Cish	0.588496077090798
Cntn1	0.681655850937424
Crip1	0.673737421480499
Crybg2	0.718781958929403
Csprs	1.10110221295082
Cst3	0.465745342521753
Ctla2a	0.787730470570453
Cxcl2	1.39908684892778
Cxcl3	0.548462205410491
Cxcr3	0.341417169661774
Cxcr6	0.671446296089489
Cybb	0.73766520961124
Cyfip1	0.534452575152824
Cysltr1	1.19804978127011
Dach2	0.720801449707825
Ddx3x	0.25080311751624
Dusp1	0.478942751565594
Edaradd	0.772854755857065
Eea1	0.630013390956779
Egr1	0.690350888034726
Emb	0.421379757872443
Epha3	0.487053439416459
F2r	0.821958613256619
Fgl2	1.24634491199037
Fkbp5	0.726282459739356
Fosb	1.01442131500763
Furin	0.781680305102711
Gadd45b	0.598155951013922
Gm20186	0.591246025239075
Gm26532	0.766689791666711
Gm26802	0.797570593359349
Gpm6b	0.996458265963761
Gpr68	0.493752163677923
Gprin3	0.590861935833336
Gzmk	1.02903033136174
H2-D1	0.283872481651723
H2-K1	0.241180104514777
H2-Q6	0.487603119576543
H2-Q7	0.345744798758151
Hes1	1.29672384151114
Hif1a	0.489084075566681
Hip1	0.749941123832066
Hlf	0.804825015636321
Id2	0.58977800278141
Ier3	0.77293734778336
Ier5l	0.545223057889956
Ifitm2	0.591756235329159
Ifngr1	0.515784211675699
Igfbp7	0.89603075939306
Igkc	0.726908103455074
Il12rb1	0.649850538016041
Il17a	0.399857773204634
Il18r1	0.52782340451125
Il18rap	0.830160005161468
Il1rl1	0.699236509979279
Il7r	0.744742060909899
Irs2	0.254525481727604
Itga1	0.885178527410096
Itgae	0.663466855308227
Itm2b	0.293583988712417
Jade2	0.65662354930176
Jag1	0.719141240871785
Junb	0.436255452570285
Kif13b	0.684485631323978
Klf10	0.684875767656501
Klrg1	0.769749604647722
Lag3	0.671952612307302
Lgals1	0.485779693116463
Lgals3	0.947215462938739
Lilr4b	0.752032034667248
Lmna	0.795758952052437
Ltb4r1	1.40532984442479
Ly6a	0.556900824001514
Maf	0.531472485642811
Malt1	0.439685741017677
Man2a2	0.579193455720071
Mdfic	0.911860793293932
Mmp9	0.758317941922644
mt-Nd1	0.151621860111115
Myadm	1.02933295928259
Nap1l3	0.786298088769546
Nav2	0.863406613873527
Nbeal2	0.593417721027111
Nebl	0.858540484569049
Nfia	0.693132444576137
Nfkbid	0.497732090112488
Nhsl2	0.536475823407301
Osbpl3	0.686582930653905
Pcsk1	0.789792612009373
Pdcd1	0.603000054325346
Pde7a	0.613606210998487
Plbd1	0.512353402793048
Plekho1	0.715599827701825
Plin2	0.706468262458402
Plk3	0.655570074997799
Plscr4	0.805758112941569
Pparg	0.693482167740851
Prss12	0.669851388152216
Ptpn11	0.654302874765545
Ptpn13	0.209237184989827
Pxdc1	0.344912132804588
Rabac1	0.299000211938679
Ramp1	0.670781459592629
Rbpj	0.721028037951574
Rgs2	0.656099774065016
Rnf128	1.1260424910549
Rora	0.357248721144005
Runx2	0.702767384488157
S100a10	0.269437812350113
S100a11	0.48162108998612
S100a4	0.643847204781915
S100a6	0.963862778554062
Scn1b	0.736556834398886
Sdc4	0.695840434000781
Serinc3	0.623057349648495
Serpina3g	1.12294471934093
Serpinb1a	0.271497373299609
Serpinb6a	0.591055195475089
Slc25a24	0.62597316984133
Sorl1	0.764005780041379
Spock2	0.636966453768777
Spry1	0.616914536477248
Srgn	0.296661529809941
St3gal6	0.688865084867476
Stc2	0.782153388845187
Stk32c	0.855252426768143
Tagln2	0.684891848223686
Tcrg-C4	0.695327829502951
Tmem176a	1.01402450005158
Tmem176b	1.45519220609249
Tnfaip3	0.610196954615334
Tnfsf8	0.569225923696994
Tspan3	0.658313308762911
Tspo	0.284711906219383
Tspoap1	0.723472314885915
Ttc39c	0.544356707101401
Txnip	0.360820265689895
Uhrf2	0.52727590072618
Vim	0.559087210197281
Zfp36l2	0.464049309601144
2010107E04Rik	-0.3079331368237
Actn1	-0.258427955425298
Adk	-0.177645568705643
Arl5c	-0.288235239093294
Atp1b3	-0.143052690195522
Atp5c1	-0.118520903214592
Atp5k	-0.140877471675717
AY036118	-0.405612837805046
B930036N10Rik	-0.287278091456573
Bach2	-0.237012151574505
BC049352	-0.657295472183524
Bzw2	-0.207676001926339
Capn3	-0.222122617185123
Ccr7	-0.681365645303041
Cct5	-0.246943642306666
Cd27	-0.14152955845889
Cd3d	-0.122812872206407
Cd5	-0.343516806170307
Chchd10	-0.242489903360157
Coro1a	-0.131823881286659
Cox7a2l	-0.285345928661925
Cox7b	-0.138026624819124
Crlf3	-0.238492643176202
Cyb5a	-0.183959442297697
Cytip	-0.199143661771071
Dapl1	-0.42739374047268
Dgka	-0.341533957220812
Dtx1	-0.219974607633648
Dusp10	-0.267986797483389
Dusp2	-0.14333039535131
Ecm1	-0.193733759808072
Eef1a1	-0.0847227359090343
Eef1b2	-0.3145214591858
Eef1g	-0.202976296252972
Eif2s2	-0.191706614255364
Eif3e	-0.136433304434372
Eif3m	-0.171742774521965
Eif4a1	-0.121727350124289
Epsti1	-0.160141843621108
Foxn3	-0.301994791351458
Foxp1	-0.319757298804918
Foxp3	-0.19182823666963
Glrx3	-0.192211409413729
Gm11808	-0.128737410517006
Gm20069	-0.13492894780983
Gm2682	-0.224054470065988
Gm8369	-0.177141963930168
Gngt2	-0.143183753033936
Gpr18	-0.162875409563394
Gpr83	-0.883990451954937
Gsta4	-0.872783841270855
Gypc	-0.63372010805283
H3f3a	-0.0948744364033405
Hist1h1e	-0.22216330186117
Hnrnpa1	-0.214094158750035
Hnrnpf	-0.0766621984441431
Hopx	-0.154702823650793
Hypk	-0.143769375140017
Ifi206	-0.142184763965516
Ifi213	-0.148227048704981
Ifi214	-0.675603097663927
Ifi27l2a	-0.647155590195196
Ift80	-0.404226140040064
Il6ra	-0.221677598873825
Il6st	-0.267758079631759
Itga6	-0.227252190293456
Klf2	-0.543922029653419
Lck	-0.113605968580166
Lef1	-0.334990753081311
Limd2	-0.275204527742674
Lrrc32	-0.269486763738105
Ly6c1	-1.31568929249298
Mbnl3	-0.206861273542572
Mgst2	-0.223090550797237
Mpp1	-0.141379317321115
Ms4a4b	-0.0708522015105317
Ms4a6b	-0.140438405637121
Myb	-0.718961738259156
Naca	-0.265178239731207
Npc2	-0.141898307780375
Npm1	-0.248053804515858
Nsg2	-0.222907007772787
Paics	-0.150373139940484
Pdlim1	-0.204337947240407
Plcxd2	-0.223488802220389
Pycard	-0.242345142621882
Qtrt1	-0.65473400704298
Rab3ip	-0.17384907963857
Rack1	-0.181041587663946
Rad51b	-0.692929029058635
Rbm38	-0.152655093167121
Rgs10	-0.517183765792827
Rhoh	-0.263837619960912
Rpl10	-0.159663816702821
Rpl10a	-0.262285236648149
Rpl11	-0.152741784232015
Rpl12	-0.185761081188732
Rpl13	-0.14092731859736
Rpl13a	-0.0349500276514076
Rpl15	-0.285888353553488
Rpl17	-0.168363181373985
Rpl18	-0.130311361799204
Rpl18a	-0.169872962150309
Rpl19	-0.136123500849992
Rpl21	-0.0984724489386499
Rpl22	-0.215907729582665
Rpl23	-0.17449173291398
Rpl23a	-0.232489183858301
Rpl24	-0.246624376831325
Rpl26	-0.218340403966833
Rpl27	-0.151499629926795
Rpl27a	-0.155847253087249
Rpl28	-0.323027245216623
Rpl29	-0.154396967973648
Rpl3	-0.15684253532751
Rpl30	-0.107403378859954
Rpl31	-0.196022724198618
Rpl32	-0.237291000936552
Rpl34	-0.182162561453823
Rpl35	-0.27082006716762
Rpl35a	-0.234979339310906
Rpl36	-0.15676286408194
Rpl36a	-0.164488224991955
Rpl36al	-0.159923672911608
Rpl37	-0.235757036565373
Rpl37a	-0.102840918019195
Rpl38	-0.127339915068672
Rpl39	-0.158660538714545
Rpl4	-0.262785584229903
Rpl41	-0.178375833220827
Rpl5	-0.259509698467133
Rpl6	-0.147978597224395
Rpl7	-0.229145033301952
Rpl7a	-0.224247057559406
Rpl9	-0.14530418154359
Rplp0	-0.249875850086018
Rplp1	-0.119620181492526
Rplp2	-0.142085563025645
Rps10	-0.149838747781997
Rps11	-0.214133644293597
Rps13	-0.13388325943736
Rps14	-0.163208449501561
Rps15	-0.253906507833899
Rps15a	-0.232136820248336
Rps16	-0.141880752854588
Rps17	-0.2838343644385
Rps18	-0.212894185624186
Rps19	-0.246184929925942
Rps2	-0.208676349178195
Rps20	-0.213943639239217
Rps23	-0.206162358204005
Rps24	-0.126978605652075
Rps25	-0.177563582283562
