M18_rep1	M18_rep2	M18_rep3	M18_rep4	M18_rep5	M18_rep6	M3_rep1	M3_rep2	M3_rep3	M3_rep4	M3_rep5	M3_rep6
Tcells_naive	1738	471	889	214	292	391	2225	2488	2612	721	788	942
Tcells_mem	978	1078	1124	371	486	866	321	594	381	169	120	196
Bcells	1273	1233	1307	412	607	411	1669	1461	1660	780	447	784
Fibroblasts	152	366	395	756	316	353	24	350	74	197	65	82
Myoepithelial	135	59	82	933	377	730	14	6	27	360	123	125
Luminal-AV	216	58	79	284	273	378	84	99	51	599	276	446
Dendritic/Macrophages	462	327	278	417	222	571	170	292	199	199	147	201
Luminal-HS	19	29	23	64	175	209	119	77	24	329	124	302
Vascular	11	13	41	185	52	168	8	19	43	45	43	58
Doublet	118	79	38	18	14	19	70	71	70	17	9	16
Pericytes	8	21	33	79	37	60	2	18	30	57	52	20
Plasma	10	4	7	16	20	27	3	1	8	2	6	12
