gene	log2FoldChange
Acot7	1.68119222643385
Arap2	1.36764909526026
Arl4c	0.963104103092268
AW112010	1.44386743862528
Bcl2	1.03439879259076
Bhlhe40	1.40053423856075
Casp1	1.8501736146255
Ccl3	1.48570043144033
Ccl4	2.34874009797073
Ccl5	1.82676503930095
Cd7	1.5548906909008
Cebpb	1.08266144012205
Crip1	0.40525046864802
Ctsd	1.04327952512264
Ctsw	0.731526797574783
Dusp5	1.15081216831675
Efhd2	1.05945558483189
Emp3	0.632000162498449
Esm1	1.72689217198912
Fasl	1.18356003136498
Fth1	0.43247839992451
Gimap3	0.57530569280017
Gimap4	0.749999235226332
Gzmk	1.76701957791497
H2afz	0.438200168038054
Hcst	0.895438006978732
Ier3	1.66631740129763
Ier5l	1.38745785446322
Ifng	1.68950930195797
Il21r	1.21163943254238
Il2rb	0.75051810220435
Klre1	1.70333572693631
Lpin1	1.44273344359347
Maf	2.16387361207981
Nab1	0.94957624967526
Nkg7	1.37724948819298
Nr4a2	1.07066738862565
Odc1	1.3410871166005
Rabac1	0.665014247164868
Rassf1	1.10881047355031
Runx3	1.0626607730191
S100a4	1.35926765862565
S100a6	1.83854464242327
Sdf4	0.94844240068188
Serpina3g	2.1186305356629
Sh2d2a	1.11327385684101
Slc20a1	1.25919587768789
Slc3a2	0.761615181965234
Socs3	1.17857133626064
Tcrg-C2	1.8377796105492
Trps1	1.49812561955744
1700097N02Rik	-1.60044478999197
2310001H17Rik	-1.22267696958924
4930453N24Rik	-0.971546032957837
A630001G21Rik	-1.0098371098527
Actn1	-0.591239999387763
Add3	-0.967927084268152
Aff3	-1.46453751410562
Anxa5	-1.05793059501544
Arhgdib	-0.622603805347338
Arl5c	-1.23019053028059
Atp6v1d	-0.830169453359193
Atp8b4	-0.737336061144483
Bach2	-0.564741183176747
Basp1	-0.290000013439764
Capg	-1.29002499055446
Ccr7	-0.983165116600267
Ccs	-1.1089396673791
Celf2	-0.528204154754639
Cldnd1	-1.33371500964757
Clec2d	-0.942386854663307
Cmah	-0.619944374227459
Cmtm7	-0.975108244169806
Cnot2	-1.14700771210121
Coro1a	-0.392582843696618
Coro7	-1.31204625119192
Ctla2b	-1.57575087468688
Cux1	-1.08169085656951
Cyb5a	-1.2405012285172
Cyth3	-1.38640919560521
Dapl1	-1.59578397819749
Ddc	-0.87948280831078
Dgka	-0.686143289262103
Dnah8	-1.55708365253414
Dpp4	-1.2250822673945
Dus2	-1.28119062128135
Epcam	-1.6292157285754
Evl	-0.676313399648437
Fbxl20	-1.19198070225449
Foxp1	-0.84910531675445
Gm14085	-0.58013550262386
Gm17745	-1.55414252287852
Gmfg	-0.468280891512154
Gyg	-1.7983843068874
H2-Oa	-0.462665467266021
H2-Ob	-0.4830298508735
H3f3a	-0.366323233184172
Hdac9	-0.710231026414673
Hibadh	-1.46402243043543
Hist1h1e	-1.23846005899579
Hmbox1	-1.39171480966148
Hscb	-0.97379592607488
Hspb11	-1.61491857502673
Id3	-1.10583610837875
Ifi206	-0.950890703600383
Ifi209	-1.20621529351522
Ifi213	-1.31366401901624
Ifi27l2a	-1.06754900679564
Ift80	-1.14641497664125
Ighm	-1.12469240753995
Il6st	-1.59258564513222
Ipcef1	-0.821018552245275
Jun	-1.14040916675185
Kcnc1	-0.768060641046264
Kdm5b	-1.18251479454357
Klf2	-0.947417218002767
Klhl6	-1.26017289828246
Krt18	-1.23903854833328
Lcn4	-1.51979896791331
Lef1	-0.921375855716992
Limd2	-0.786193621378038
Lipa	-1.34273519615734
Lonp2	-1.04058867413365
Ly6c2	-2.04595822955038
Mapk6	-1.43677210005991
Mpp1	-0.685929643186138
Ms4a4c	-1.00584200098785
Myb	-2.1387482038623
Ncor2	-1.10997205262737
Oxsr1	-1.52449365737301
Patj	-1.51822839063513
Pde2a	-1.24853837192275
Pecam1	-1.46467580828144
Peli1	-0.682792181042113
Pou2af1	-0.660132620815968
Pou2f2	-1.01538569863467
Ptprk	-1.40824351197716
Pym1	-1.20675452480753
Rabgap1	-1.33364319507427
Rcsd1	-0.80277977440965
Reep1	-0.339344858328592
Retreg1	-1.62780516051607
Rpl28	-0.640456700132355
Rpl35	-0.451132169998051
Rpl41	-0.454877154721435
Rps6ka5	-0.785619072205303
S1pr1	-0.8980224619552
Sat1	-0.756859927224998
Satb1	-1.10413801509533
Sav1	-1.1922479398339
Sell	-1.0844914103363
Serp1	-0.868045406819997
Shisa5	-0.449952712653247
Sinhcaf	-1.21316730236252
Slamf6	-1.22010108193542
Slamf7	-1.37808244470266
Slfn5	-1.57769790774558
Smap2	-0.924092256938928
Smc4	-1.61441227220716
Smc6	-0.877704805950993
Sox4	-1.63109350680096
St6gal1	-0.380746095035862
St8sia6	-0.261272447696916
Tcf3	-1.36933019070176
Tcf7	-0.900282064006924
Tec	-1.37844384117134
Tmem108	-0.716452967410612
Tmsb10	-0.538219163401683
Top2b	-0.808349187362119
Tpcn1	-1.65577512248578
Tpr	-0.643103052577467
Traf1	-0.796963695661312
Tspan32	-1.42146796739733
Tubb2b	-2.35886159522978
Ugcg	-0.677008433614356
Washc3	-1.32798121681452
Xlr4b	-1.1098940558149
Xylt1	-1.5123283351896
Zc3hc1	-1.37113710844244
Zfp36	-0.843328104416141
Zfpm1	-1.26945600084996
Zmynd11	-0.936716577105696
