"MotifName"	"log_FC_Change"	"adj_p_val"	"CellType"	"Significance"
"Bach1::Mafk"	0.0155414567411101	1	"CD8 GZMM"	""
"Bach1::Mafk"	-0.647097034794613	1	"γδ T"	""
"Bach1::Mafk"	-0.439079118904808	1	"NK"	""
"Bach1::Mafk"	1.27686045174887	0.000661807968521252	"Naive CD4-1"	"*"
"Bach1::Mafk"	0.297908329277165	1	"Naive CD8-1"	""
"Bach1::Mafk"	1.15713626864966	1	"CD8 GZMK"	""
"Bach1::Mafk"	0.357091400763297	0.0198371702772593	"Naive CD8-2"	"*"
"Bach1::Mafk"	0.163785648151742	0.955594415070939	"Naive CD4-2"	""
"Bach1::Mafk"	-0.754552215670905	1	"Memory CD4"	""
"BATF"	-1.33172059968454	0.0865763792453677	"Naive CD8-1"	""
"BATF"	-3.72919682661036	1	"NK"	""
"BATF"	-0.770844881537481	1	"CD8 GZMK"	""
"BATF"	-0.297146926114668	0.171306496372596	"CD8 GZMM"	""
"BATF"	0.72519097795007	0.887362045245508	"Naive CD4-2"	""
"BATF"	1.3735924668304	2.5197868207549e-09	"Naive CD4-1"	""
"BATF"	6.69051230726251	0.00632044823672124	"Memory CD4"	"*"
"BATF"	0.796756946254143	1	"γδ T"	""
"BATF"	-0.0506211603203348	2.06640275407494e-06	"Naive CD8-2"	""
"BATF::JUN"	-0.906120124657623	1	"CD8 GZMK"	""
"BATF::JUN"	-0.19280291573355	0.0989455359090631	"CD8 GZMM"	""
"BATF::JUN"	0.757513927652628	0.692190067046351	"Naive CD4-2"	""
"BATF::JUN"	1.40043373034314	7.07706896899942e-09	"Naive CD4-1"	""
"BATF::JUN"	-0.0723521439090125	2.37039811081017e-06	"Naive CD8-2"	""
"BATF::JUN"	0.714757924034652	1	"γδ T"	""
"BATF::JUN"	6.70209144378124	0.0073248154708608	"Memory CD4"	"*"
"BATF::JUN"	-1.38250441173043	0.07096719099943	"Naive CD8-1"	""
"BATF::JUN"	-3.90892486140678	1	"NK"	""
"BATF3"	-4.53639102396282	1	"NK"	""
"BATF3"	0.37304894288696	1	"γδ T"	""
"BATF3"	0.605652958893519	0.329267327658934	"Naive CD4-2"	""
"BATF3"	0.107776146949373	0.117289574461084	"CD8 GZMM"	""
"BATF3"	1.62780435578751	7.40206918393676e-10	"Naive CD4-1"	""
"BATF3"	-0.083084771373634	1.24851753536994e-06	"Naive CD8-2"	""
"BATF3"	-1.47618995381904	0.182418340922856	"Naive CD8-1"	""
"BATF3"	5.37691507071904	0.00441461358459996	"Memory CD4"	"*"
"BATF3"	-0.371015710349285	1	"CD8 GZMK"	""
"CTCF"	0.488836736097717	1	"Naive CD8-2"	""
"CTCF"	-0.393251881334848	1	"Memory CD4"	""
"CTCF"	-0.454735120096467	1	"NK"	""
"CTCF"	-0.165403872412392	1	"γδ T"	""
"CTCF"	0.921477928306478	1	"Naive CD8-1"	""
"CTCF"	-0.219131143744907	1	"Naive CD4-2"	""
"CTCF"	-1.0416473956414	1	"CD8 GZMK"	""
"CTCF"	-0.1548125196552	1	"Naive CD4-1"	""
"CTCF"	-1.33834271180157	0.00232257138482854	"CD8 GZMM"	"*"
"EGR1"	-0.0762926087091911	1	"NK"	""
"EGR1"	-0.0960345410365441	1	"Naive CD4-2"	""
"EGR1"	-0.532151401866888	1	"CD8 GZMK"	""
"EGR1"	0.0783945368959189	1	"Naive CD8-2"	""
"EGR1"	-0.334212638880633	1	"γδ T"	""
"EGR1"	0.175848476470225	1	"Naive CD4-1"	""
"EGR1"	-0.494571315203365	0.387791107765798	"CD8 GZMM"	""
"EGR1"	-1.84612381802673	0.00328144180431215	"Memory CD4"	"*"
"EGR1"	-0.167587587270479	1	"Naive CD8-1"	""
"EGR3"	0.167429068951387	1	"Naive CD4-1"	""
"EGR3"	-0.886973686944723	1.39904989517437e-06	"CD8 GZMM"	""
"EGR3"	-0.248413003077694	1	"Naive CD4-2"	""
"EGR3"	-0.191284991430803	1	"γδ T"	""
"EGR3"	-0.349667273224423	1	"Naive CD8-1"	""
"EGR3"	-0.728717432343869	1	"CD8 GZMK"	""
"EGR3"	0.371909308528256	1	"NK"	""
"EGR3"	-1.85665215640751	0.0187857752332389	"Memory CD4"	"*"
"EGR3"	0.00222360637165903	1	"Naive CD8-2"	""
"FOS::JUN"	1.9317129875785	1	"γδ T"	""
"FOS::JUN"	-0.265956827613277	0.00103660210072749	"CD8 GZMM"	"*"
"FOS::JUN"	-1.10858012166453	1	"CD8 GZMK"	""
"FOS::JUN"	-0.617683058590139	1.24423043078518e-07	"Naive CD8-2"	""
"FOS::JUN"	1.29052553242446	0.183004725269979	"Naive CD4-2"	""
"FOS::JUN"	-1.50034366128878	1	"NK"	""
"FOS::JUN"	-1.78388594926708	0.0358145340459302	"Naive CD8-1"	"*"
"FOS::JUN"	1.54024585648223	6.42982906710861e-10	"Naive CD4-1"	""
"FOS::JUN"	2.79917459740259	0.000627508144692753	"Memory CD4"	"*"
"FOS::JUND"	-0.0197023080700576	0.00983312054237459	"CD8 GZMM"	"*"
"FOS::JUND"	3.7851455192893	0.00195269456832145	"Memory CD4"	"*"
"FOS::JUND"	-1.30139929685519	1	"NK"	""
"FOS::JUND"	-2.33405013112907	0.0810941914978512	"Naive CD8-1"	""
"FOS::JUND"	1.16813547104511	0.115124646988306	"Naive CD4-2"	""
"FOS::JUND"	-1.01565000241758	1	"CD8 GZMK"	""
"FOS::JUND"	1.60743636972825	1	"γδ T"	""
"FOS::JUND"	-0.82036965593777	3.41409552858709e-09	"Naive CD8-2"	""
"FOS::JUND"	1.55309726961782	1.06005959352815e-09	"Naive CD4-1"	""
"FOSB::JUNB"	2.28893894292713	1	"γδ T"	""
"FOSB::JUNB"	-0.187504326216136	1	"CD8 GZMK"	""
"FOSB::JUNB"	-1.10693570739362	0.0104250963097512	"Naive CD8-1"	"*"
"FOSB::JUNB"	3.82954145489213	0.00136698319767725	"Memory CD4"	"*"
"FOSB::JUNB"	-1.35833090555906	1	"NK"	""
"FOSB::JUNB"	-0.505726974238246	0.000785332949566568	"CD8 GZMM"	"*"
"FOSB::JUNB"	-0.844515392933614	6.57767400829393e-08	"Naive CD8-2"	""
"FOSB::JUNB"	1.24947578838251	1	"Naive CD4-2"	""
"FOSB::JUNB"	1.4113207319824	1.02329332025998e-08	"Naive CD4-1"	""
"FOSL1"	2.69621975386777	1	"γδ T"	""
"FOSL1"	-0.647724398728537	1	"CD8 GZMK"	""
"FOSL1"	1.61507263112126	1.48841958656657e-09	"Naive CD4-1"	""
