seqnames	start	end	width	strand	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	annotation	geneChr	geneStart	geneEnd	geneSymbol	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
chr9	13751740	13752202	463	*	7.15143308686658e-26	-0.678530122402281	0	0.16	1.24219677575564e-20	Promoter (2-3kb)	9	13749389	13786175	Mtmr2	36787	1	77116	ENSMUST00000134530.1	2351
chr1	51457392	51457496	105	*	8.933505328976e-20	-0.771183879954264	0	0.12	1.5517409421378e-14	Distal Intergenic	1	51471339	51473396	Nabp1	2058	2	109019	ENSMUST00000185961.1	15900
chr11	94819022	94819405	384	*	8.933505328976e-20	-0.691464049232149	0	0.12	1.5517409421378e-14	Distal Intergenic	11	94777217	94782703	Tmem92	5487	2	544806	ENSMUST00000100554.7	-36319
chr12	98615603	98616186	584	*	8.933505328976e-20	-0.64348997611304	0	0.12	1.5517409421378e-14	Distal Intergenic	12	98628157	98669815	Spata7	41659	1	104871	ENSMUST00000048402.11	-11971
chr10	45091532	45092772	1241	*	1.45473939077541e-17	-0.896793035141585	0.006	0.2	2.52686777438297e-12	Exon (ENSMUST00000099858.3/19072, exon 4 of 15)	10	45067203	45167198	Prep	99996	1	19072	ENSMUST00000099858.3	24329
chr4	10752948	10753859	912	*	3.07326970128415e-17	-0.463534152865189	0.003	0.16	5.33823873843355e-12	Intron (ENSMUST00000146783.7/73624, intron 2 of 4)	4	10479962	10742904	NA	262943	2	73624	ENSMUST00000145856.1	-10044
chr18	79336214	79336839	626	*	3.41963808362148e-17	-0.531018646299399	0.003	0.16	5.93987715486967e-12	Distal Intergenic	18	78750380	79109391	Setbp1	359012	2	240427	ENSMUST00000025430.10	-226823
chr2	72135339	72138179	2841	*	1.38169857202003e-15	-0.286974005017602	0.007	0.2	2.39999660261307e-10	Promoter (2-3kb)	2	72140711	72196261	Rapgef4	55551	1	56508	ENSMUST00000122975.7	-2532
chr4	15299607	15300733	1127	*	6.40118185916661e-15	-0.337923422241646	0.001	0.12	1.11187888775538e-09	Distal Intergenic	4	15265831	15286753	Tmem64	20923	1	100201	ENSMUST00000062684.8	33776
chr11	76357376	76359095	1720	*	6.40118185916661e-15	-0.679906856062951	0.001	0.12	1.11187888775538e-09	Exon (ENSMUST00000131472.1/18230, exon 2 of 2)	11	76358803	76399068	Nxn	40266	2	18230	ENSMUST00000131472.1	39973
chr4	48690497	48691018	522	*	6.80003444130076e-15	-0.644563047570511	0.001	0.12	1.1811591824195e-09	Distal Intergenic	4	48663514	48673502	Cavin4	9989	1	68016	ENSMUST00000030033.4	26983
chr12	115820906	115820981	76	*	6.80003444130076e-15	-0.615136283419069	0.001	0.12	1.1811591824195e-09	Distal Intergenic	12	115695720	115695794	NA	75	2	102465205	ENSMUST00000184417.1	-125112
chr15	44410429	44410857	429	*	7.22332441865962e-15	-0.537195654512144	0.001	0.12	1.25468422819676e-09	Intron (ENSMUST00000227843.1/67429, intron 2 of 9)	15	44376368	44427785	Nudcd1	51418	2	67429	ENSMUST00000226606.1	16928
chr18	64961506	64963385	1880	*	7.22332441865962e-15	-0.572313351197131	0.001	0.12	1.25468422819676e-09	Intron (ENSMUST00000235343.1/83814, intron 1 of 30)	18	64976831	65080042	Nedd4l	103212	1	83814	ENSMUST00000238122.1	-13446
chr8	35370782	35371270	489	*	8.35013186450206e-15	-0.658758509785281	0.004	0.16	1.45040955473214e-09	Exon (ENSMUST00000210468.1/ENSMUST00000210468.1, exon 3 of 4)	8	35375739	35388129	Ppp1r3b	12391	1	244416	ENSMUST00000210337.1	-4469
chr3	146421334	146422571	1238	*	5.93117465816535e-14	-0.680636863107156	0.015	0.24	1.03023910694866e-08	Intron (ENSMUST00000106151.7/99167, intron 4 of 13)	3	146430529	146432579	Ssx2ip	2051	1	99167	ENSMUST00000141103.1	-7958
chr6	88781981	88783599	1619	*	3.76820838352746e-12	-0.617492205002637	0.025	0.28	6.54534028010335e-07	Intron (ENSMUST00000113585.8/23945, intron 3 of 7)	6	88823130	88825833	Mgll	2704	1	23945	ENSMUST00000205045.1	-39531
chr16	31243510	31244589	1080	*	5.1103501059807e-12	-0.667119671831187	0.003	0.12	8.87662703058741e-07	Exon (ENSMUST00000232655.1/ENSMUST00000232655.1, exon 3 of 3)	16	31257975	31274992	Ppp1r2	17018	2	66849	ENSMUST00000115233.1	30403
chr1	33562992	33564416	1425	*	5.36217563920511e-12	-0.615485938869287	0.003	0.12	9.31404546354289e-07	Intron (ENSMUST00000027312.10/19076, intron 7 of 13)	1	33478942	33622142	Prim2	143201	2	19076	ENSMUST00000189552.1	57726
chr10	30570369	30570495	127	*	5.62615266990585e-12	-0.593331246831458	0.003	0.12	9.77257092609977e-07	Intron (ENSMUST00000019927.6/73681, intron 7 of 12)	10	30559121	30590109	Trmt11	30989	2	73681	ENSMUST00000215041.1	19614
chr1	181186927	181187512	586	*	5.90285462828238e-12	-0.566268340488713	0.003	0.12	1.02531994607802e-06	Promoter (2-3kb)	1	181182307	181184396	Wdr26	2090	2	226757	ENSMUST00000159698.1	-2531
chr2	83652413	83653141	729	*	5.90285462828238e-12	-0.637858921172882	0.003	0.12	1.02531994607802e-06	Intron (ENSMUST00000081591.6/69082, intron 1 of 9)	2	83656620	83658066	Zc3h15	1447	1	69082	ENSMUST00000145099.1	-3479
chr3	109407710	109408323	614	*	5.90285462828238e-12	-0.509583364477189	0.003	0.12	1.02531994607802e-06	Intron (ENSMUST00000046864.13/57257, intron 1 of 26)	3	109341106	109442212	Vav3	101107	1	57257	ENSMUST00000137871.1	66604
chr8	34845816	34846480	665	*	5.90285462828238e-12	-0.527392351318627	0.003	0.12	1.02531994607802e-06	Intron (ENSMUST00000033929.5/21951, intron 20 of 26)	8	34834006	34838989	Tnks	4984	2	21951	ENSMUST00000210014.1	-6827
chr10	68539082	68539416	335	*	5.90285462828238e-12	-0.582676712582016	0.003	0.12	1.02531994607802e-06	Promoter (2-3kb)	10	68430953	68541896	1700040L02Rik	110944	2	73287	ENSMUST00000020103.8	2480
chr2	5579222	5579937	716	*	6.19288136929016e-12	-0.540970718910859	0.003	0.12	1.07569730096433e-06	Intron (ENSMUST00000044009.13/227541, intron 1 of 10)	2	5298887	5676046	Camk1d	377160	2	227541	ENSMUST00000114987.3	96109
chr17	13551775	13552480	706	*	6.19288136929016e-12	-0.661790192237799	0.003	0.12	1.07569730096433e-06	Intron (ENSMUST00000137459.7/72578, intron 2 of 5)	17	13487021	13568864	NA	81844	2	72578	ENSMUST00000137459.7	16384
chr8	128148244	128149037	794	*	6.98410658344419e-12	-0.455302921925037	0.012	0.2	1.21313232943767e-06	Distal Intergenic	8	128278148	128278225	NA	78	2	102465212	ENSMUST00000184910.1	129188
chr3	52856394	52858120	1727	*	1.72604721528768e-11	-0.415899381837311	0.007	0.16	2.99812675248255e-06	Distal Intergenic	3	52906756	52927666	NA	20911	2	622124	ENSMUST00000194274.1	69546
chr13	111940219	111942330	2112	*	1.78767431584576e-11	-0.795983918762053	0.007	0.16	3.10517240988093e-06	Distal Intergenic	13	111867936	111871937	NA	4002	1	102636620	ENSMUST00000128198.1	72283
chr18	89214673	89215335	663	*	2.92765687070395e-11	-0.632647482347819	0.013	0.2	5.08531070784406e-06	Intron (ENSMUST00000235651.1/225825, intron 3 of 7)	18	89206101	89207338	Cd226	1238	1	225825	ENSMUST00000236835.1	8572
chr1	36082163	36084075	1913	*	2.51373450943511e-10	-0.592507957724492	0.009	0.16	4.36633170554369e-05	Intron (ENSMUST00000088174.3/50785, intron 1 of 1)	1	36068400	36106446	Hs6st1	38047	1	50785	ENSMUST00000088174.3	13763
chr14	79273759	79276256	2498	*	2.51373450943511e-10	-0.458920863634227	0.009	0.16	4.36633170554369e-05	Distal Intergenic	14	79288756	79301645	Rgcc	12890	2	66214	ENSMUST00000022595.7	25389
chr11	59176161	59177362	1202	*	2.84974226835433e-10	-0.71223352536077	0.009	0.16	4.94997382270879e-05	3' UTR	11	59175568	59182826	Gjc2	7259	2	118454	ENSMUST00000108793.8	5464
chr2	158159275	158163611	4337	*	3.36216707336385e-10	-0.684763516018208	0.077	0.44	5.84005058476228e-05	Distal Intergenic	2	158116402	158146436	Tgm2	30035	2	21817	ENSMUST00000103122.9	-12839
chr14	76767269	76767674	406	*	4.46548843342923e-10	-0.58135664047557	0.004	0.12	7.75650875398225e-05	Distal Intergenic	14	76760131	76762217	NA	2087	1	73883	ENSMUST00000228541.1	7138
chr3	130748899	130749816	918	*	4.83599276108519e-10	-0.344250016290407	0.004	0.12	8.40007106607736e-05	Intron (ENSMUST00000196074.1/ENSMUST00000196074.1, intron 1 of 1)	3	130726839	130730398	Rpl34	3560	2	68436	ENSMUST00000079085.10	-18501
chr12	3718980	3719968	989	*	5.03233053870825e-10	-0.589470098118283	0.004	0.12	8.74110782243083e-05	Promoter (<=1kb)	12	3719540	3749474	Dtnb	29935	1	13528	ENSMUST00000173498.1	0
