seqnames	start	end	width	strand	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	annotation	geneChr	geneStart	geneEnd	geneSymbol	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
chr9	112173992	112175738	1747	*	3.44286155110129e-18	-0.393043218497988	0.057	0.235	5.98021608564743e-13	Exon (ENSMUST00000161138.7/74100, exon 9 of 9)	9	112065234	112185769	Arpp21	120536	2	74100	ENSMUST00000162065.7	10031
chr1	137897709	137901408	3700	*	2.8150951340011e-15	-0.245327701029903	0.189	0.43	4.88979209680858e-10	Exon (ENSMUST00000187561.1/ENSMUST00000187561.1, exon 1 of 1)	1	137966455	137966541	NA	87	1	735252	ENSMUST00000083631.1	-65047
chr5	148976412	148979983	3572	*	2.5958045860988e-13	-0.219628395693359	0.066	0.222	4.50888660800775e-08	Intron (ENSMUST00000147473.5/231912, intron 2 of 6)	5	148893775	148995147	Katnal1	101373	2	231912	ENSMUST00000147473.5	15164
chr3	121967157	121969188	2032	*	5.3188224616058e-13	-0.261279714821482	0.062	0.214	9.23874142758465e-08	Promoter (<=1kb)	3	121967829	121992797	Arhgap29	24969	1	214137	ENSMUST00000196479.4	0
chr13	28945221	28954613	9393	*	1.37906280870869e-12	-0.202406403274516	0.176	0.383	2.39541830809892e-07	Promoter (<=1kb)	13	28948919	28953713	Sox4	4795	2	20677	ENSMUST00000067230.5	0
chr13	28416074	28420741	4668	*	3.31052879116126e-12	-0.235471324716053	0.084	0.243	5.75035540495919e-07	Exon (ENSMUST00000222823.1/ENSMUST00000222823.1, exon 1 of 4)	13	28460778	28480841	NA	20064	2	72518	ENSMUST00000122881.6	60100
chr2	68859983	68864208	4226	*	3.59843332700608e-12	-0.229054614218637	0.124	0.309	6.25044270467629e-07	Promoter (<=1kb)	2	68861441	69114282	Cers6	252842	1	241447	ENSMUST00000028426.8	0
chr12	73580373	73582080	1708	*	7.92669881135238e-12	-0.250894309927719	0.023	0.127	1.3768596568331e-06	Promoter (2-3kb)	12	73584796	73778176	Prkch	193381	1	18755	ENSMUST00000221153.1	-2716
chr5	140217838	140219984	2147	*	1.43491490413244e-11	-0.290979635469801	0.019	0.116	2.49243283932901e-06	Intron (ENSMUST00000110829.6/17120, intron 10 of 16)	5	140166983	140262565	Mad1l1	95583	2	17120	ENSMUST00000132832.1	42581
chr8	76898418	76903812	5395	*	1.92353667102958e-11	0.327157826894317	0.531	0.338	3.34116396221166e-06	Promoter (<=1kb)	8	76749087	76900173	NA	151087	2	102640923	ENSMUST00000136538.1	0
