seqnames	start	end	width	strand	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	annotation	geneChr	geneStart	geneEnd	geneSymbol	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
chr1	164452488	164460089	7602	*	1.14030289146661e-19	-0.373796493534643	0.283	0.692	1.98069471944859e-14	Promoter (<=1kb)	1	164437109	164458355	Atp1b1	21247	2	11931	ENSMUST00000027863.12	0
chr1	137897709	137901408	3700	*	6.01426419743578e-16	-0.356389915640662	0.152	0.474	1.0446716768304e-10	Exon (ENSMUST00000187561.1/ENSMUST00000187561.1, exon 1 of 1)	1	137966455	137966541	NA	87	1	735252	ENSMUST00000083631.1	-65047
chr12	12936917	12943205	6289	*	1.52017833827774e-15	-0.415331818373267	0.092	0.374	2.64053457180504e-10	Promoter (<=1kb)	12	12936093	12941914	Mycn	5822	2	18109	ENSMUST00000043396.14	0
chr2	68859983	68864208	4226	*	2.54361027215404e-15	-0.374584260922393	0.105	0.403	4.41822560662885e-10	Promoter (<=1kb)	2	68861441	69114282	Cers6	252842	1	241447	ENSMUST00000028426.8	0
chr2	79251478	79260673	9196	*	6.86056302371452e-15	-0.293064750069329	0.333	0.706	1.19167293665619e-09	Promoter (<=1kb)	2	79255426	79257852	Itga4	2427	1	16401	ENSMUST00000155105.1	0
chr1	69682219	69689849	7631	*	9.61025285481095e-15	-0.327403628489282	0.273	0.621	1.66929131062781e-09	Promoter (<=1kb)	1	69531214	69685821	Ikzf2	154608	2	22779	ENSMUST00000027146.8	0
chr15	25620447	25626595	6149	*	2.78909234872921e-13	-0.319167238993122	0.203	0.517	4.84462551881916e-08	Promoter (<=1kb)	15	25622525	25813673	Myo10	191149	1	17909	ENSMUST00000110457.7	0
chr12	73380936	73384592	3657	*	6.71618433072388e-13	-0.398756222058393	0.127	0.403	1.16659450206241e-07	Intron (ENSMUST00000221180.1/380765, intron 2 of 3)	12	73364075	73371445	NA	7371	2	380765	ENSMUST00000070425.5	-9491
chr1	135807099	135808732	1634	*	1.55072237101467e-12	-0.354041862735175	0.076	0.318	2.69358925122877e-07	Promoter (2-3kb)	1	135805057	135809909	Tnni1	4853	1	21952	ENSMUST00000129217.1	2042
chr1	69768186	69769689	1504	*	8.02509047338201e-12	-0.377194262862279	0.19	0.474	1.39395019013598e-06	Distal Intergenic	1	69826970	70267277	Spag16	440308	1	66722	ENSMUST00000187159.6	-57281
